"","preferredLabel","conceptUri","code","onet_title","onet_code","occup_type","task_total"
"53","canvas goods assembler","http://data.europa.eu/esco/occupation/531e98aa-2a03-489d-b811-ebbb7389864a","8159.3","Textile, Apparel, and Furnishings Workers, All Other","51-6099.00","Non-green",NA
"54","ICT business development manager","http://data.europa.eu/esco/occupation/57b459d4-655c-4053-b189-3c249ce33faf","2434.2","Managers, All Other","11-9199.00","Non-green",NA
"55","footwear production technician","http://data.europa.eu/esco/occupation/59dae100-fdfe-44bd-8bd8-a0d3cd813ce4","3119.7","Engineering Technologists and Technicians, Except Drafters, All Other","17-3029.00","Non-green",NA
"56","scenery technician","http://data.europa.eu/esco/occupation/5a0ff408-e1df-424b-a2d6-4b475a516f2a","3435.25.3","Media and Communication Equipment Workers, All Other","27-4099.00","Non-green",NA
"57","textile printer","http://data.europa.eu/esco/occupation/5b942a51-c9a2-4dc7-82cc-57451426cf4d","7322.10","Production Workers, All Other","51-9199.00","Non-green",NA
"58","games development manager","http://data.europa.eu/esco/occupation/62001bb7-4611-4b61-903e-d98589c0821a","1223.2.1.3","Managers, All Other","11-9199.00","Non-green",NA
"59","swimming teacher","http://data.europa.eu/esco/occupation/62975936-0853-4a5d-9f59-bf943aca3cc6","3422.4.6","Teachers and Instructors, All Other","25-3099.00","Non-green",NA
"60","colour sampling technician","http://data.europa.eu/esco/occupation/657eeac9-5bb9-449d-a353-aa7d5f47e2b5","3116.1.3","Engineering Technologists and Technicians, Except Drafters, All Other","17-3029.00","Non-green",NA
"61","honey extractor","http://data.europa.eu/esco/occupation/67f12d6c-295f-4315-8c5c-8e477c7f7019","8160.38","Food Processing Workers, All Other","51-3099.00","Non-green",NA
"62","occupational railway instructor","http://data.europa.eu/esco/occupation/68dd0dfc-c8b0-4fd0-9a6e-b0864925fa56","2320.1.20","Teachers and Instructors, All Other","25-3099.00","Non-green",NA
"63","oil mill operator","http://data.europa.eu/esco/occupation/6a0b0c4f-b57a-4978-a637-2c0adff65996","7514.2","Food Processing Workers, All Other","51-3099.00","Non-green",NA
"64","homelessness worker","http://data.europa.eu/esco/occupation/6a6ce738-b049-4521-b402-8e1f346c7eca","2635.3.15","Community and Social Service Specialists, All Other","21-1099.00","Non-green",NA
"65","V-belt finisher","http://data.europa.eu/esco/occupation/6ccb925a-264a-4e00-aa3a-503e53c5db2b","8141.1.9.2","Production Workers, All Other","51-9199.00","Non-green",NA
"66","textile colourist","http://data.europa.eu/esco/occupation/6d765c21-267d-4d3d-a989-9b7596670477","2163.3","Textile, Apparel, and Furnishings Workers, All Other","51-6099.00","Non-green",NA
"67","nonwoven staple machine operator","http://data.europa.eu/esco/occupation/6f9398cc-c4cc-415e-a757-fd855f55fda2","8159.6","Textile, Apparel, and Furnishings Workers, All Other","51-6099.00","Non-green",NA
"68","blanching operator","http://data.europa.eu/esco/occupation/706e8b26-befb-429b-b71d-f72fad1bae12","8160.4","Food Processing Workers, All Other","51-3099.00","Non-green",NA
"69","wood fuel pelletiser","http://data.europa.eu/esco/occupation/7109cdfd-1618-43b6-8317-8dc90fa583e6","8172.6","Woodworkers, All Other","51-7099.00","Non-green",NA
"70","fruit-press operator","http://data.europa.eu/esco/occupation/7235d075-ecf6-42ba-8a60-d7e79bbce152","8160.35","Food Processing Workers, All Other","51-3099.00","Non-green",NA
"71","ICT auditor manager","http://data.europa.eu/esco/occupation/76a1a76c-b014-4600-8901-56cb936de7ed","2519.2","Managers, All Other","11-9199.00","Non-green",NA
"72","commissioning engineer","http://data.europa.eu/esco/occupation/76abbb82-c103-4d7a-a4c0-14dba4d6199a","2149.6","Engineers, All Other","17-2199.00","Non-green",NA
"73","snowboard instructor","http://data.europa.eu/esco/occupation/776837b1-6f6b-4014-8330-d56918303e93","3422.4.5","Teachers and Instructors, All Other","25-3099.00","Non-green",NA
"74","gas distribution engineer","http://data.europa.eu/esco/occupation/7bc02fa7-7aaa-41a6-be5b-ab7a7b6684d3","2145.1.5","Engineers, All Other","17-2199.00","Non-green",NA
"75","zoo educator","http://data.europa.eu/esco/occupation/7c5e4ca1-e8be-4297-9014-509d5ba57210","5113.1.3","Teachers and Instructors, All Other","25-3099.00","Non-green",NA
"76","glove maker","http://data.europa.eu/esco/occupation/7c6fc2f0-6e16-4429-8190-f6faac0c3853","7533.3","Textile, Apparel, and Furnishings Workers, All Other","51-6099.00","Non-green",NA
"77","leather finishing operator","http://data.europa.eu/esco/occupation/7d99ed04-fda7-4f35-9f02-0db18078159c","8155.1.2","Production Workers, All Other","51-9199.00","Non-green",NA
"78","fluid power engineer","http://data.europa.eu/esco/occupation/811595cc-3100-4ca0-b860-3a77349342ae","2144.1.7","Engineers, All Other","17-2199.00","Non-green",NA
"79","ski instructor","http://data.europa.eu/esco/occupation/812276dd-95ea-428b-b05e-a61c4089063c","3422.4.4","Teachers and Instructors, All Other","25-3099.00","Non-green",NA
"80","milk reception operator","http://data.europa.eu/esco/occupation/8188136d-df82-4910-91e1-b185ec17c3c9","7513.2","Food Processing Workers, All Other","51-3099.00","Non-green",NA
"81","car driving instructor","http://data.europa.eu/esco/occupation/834aab9b-2246-4c3e-ab4a-cf3de1267e1a","5165.1.2","Teachers and Instructors, All Other","25-3099.00","Non-green",NA
"82","contract engineer","http://data.europa.eu/esco/occupation/836f0a96-7546-4003-9fc8-714fc79199d4","2149.2.3","Engineers, All Other","17-2199.00","Non-green",NA
"83","fish production operator","http://data.europa.eu/esco/occupation/83de6811-975d-4f7c-b81e-604c0c17e800","8160.32","Food Processing Workers, All Other","51-3099.00","Non-green",NA
